date,year,month,day,1364 ｉシェアーズ JPX日経400 ETF,1369 One ETF 日経225,1385 UBS ETF ユーロ圏大型株50(E･ストックス50),1386 UBS ETF 欧州株(MSCIヨーロッパ),1389 UBS ETF 英国大型株100(FTSE 100),1390 UBS ETF MSCIアジア太平洋株(除く日本),1391 UBS ETF スイス株(MSCIスイス20/35),1392 UBS ETF 英国株(MSCI英国),1393 UBS ETF 米国株(MSCI米国),1394 UBS ETF 先進国株(MSCIワールド),1458 楽天 ETF-日経レバレッジ指数連動型,1459 楽天 ETF-日経ダブルインバース指数連動型,1473 One ETF トピックス,1474 One ETF JPX日経400,1475 iシェアーズ・コア TOPIX ETF,1476 iシェアーズ・コア Ｊリート ETF,1477 iシェアーズ MSCI 日本株最小分散 ETF,1478 iシェアーズ MSCI ジャパン高配当利回り ETF,1482 iシェアーズ・コア 米国債7-10年ETF(H有),1483 iシェアーズ JPX/S&P 設備･人材投資ETF,1484 One ETF JPX/S&P 設備･人材投資指数,1489 (NEXT FUNDS)日経平均高配当株50指数連動型ETF,1493 One ETF JPX日経中小型,1494 One ETF 高配当日本株,1496 iシェアーズ 米ドル建て投資適格社債ETF(H有),1497 iシェアーズ 米ドル建ハイイールド社債ETF(H有),1498 One ETF ESG,1552 国際のETF VIX短期先物指数,1557 SPDR S&P500 ETF,1575 ChinaAMC CSI 300 Index ETF-JDR,1576 南方 FTSE 中国A株 50 ETF,1577 (NEXT FUNDS)野村日本株高配当70連動型ETF,1655 iシェアーズ S&P500 米国株 ETF,1656 iシェアーズ･コア　米国債7-10年 ETF,1657 iシェアーズ･コア MSCI 先進国株(除く日本)ETF,1658 iシェアーズ･コア MSCI 新興国株 ETF,1659 iシェアーズ 米国リート ETF,2516 東証マザーズETF,2522 iシェアーズ オートメーション&ロボット ETF,2555 東証REIT ETF,サイバーエージェント：前日比,サイバーエージェント：翌日比
2020-11-09,2020,11,9,270.0,540.0,80.0,250.0,0.0,20.0,62.0,35.0,-200.0,0.0,570.0,-109.0,27.0,220.0,27.0,13.0,20.0,28.0,-5.0,11.0,9.0,200.0,90.0,120.0,-3.0,8.0,150.0,-880.0,750.0,0.0,-26.0,150.0,57.0,-10.0,46.0,46.0,2.0,17.0,119.0,16.0,240.0,-550.0
2020-11-06,2020,11,6,160.0,190.0,20.0,-210.0,50.0,0.0,-61.0,5.0,450.0,310.0,230.0,-43.0,4.0,80.0,9.0,-18.0,2.0,19.0,-5.0,48.0,24.0,170.0,50.0,170.0,-4.0,-1.0,110.0,120.0,-200.0,2.0,-1.0,140.0,-12.0,-23.0,2.0,-2.0,-28.0,-18.0,-2.0,6.0,-210.0,240.0
2020-11-05,2020,11,5,100.0,430.0,80.0,110.0,260.0,0.0,89.0,19.0,0.0,0.0,450.0,-95.0,28.0,240.0,19.0,30.0,26.0,-11.0,10.0,-15.0,27.0,-140.0,310.0,-60.0,33.0,15.0,130.0,-730.0,750.0,18.0,-3.0,-80.0,48.0,1.0,44.0,55.0,-39.0,32.0,57.0,19.0,40.0,-210.0
2020-11-04,2020,11,4,280.0,420.0,170.0,380.0,150.0,90.0,52.0,88.0,850.0,490.0,440.0,-101.0,19.0,200.0,24.0,27.0,15.0,15.0,10.0,9.0,30.0,140.0,70.0,190.0,28.0,39.0,190.0,-740.0,1200.0,9.0,-3.0,70.0,88.0,12.0,77.0,25.0,109.0,46.0,116.0,32.0,130.0,40.0
2020-11-02,2020,11,2,120.0,320.0,50.0,-40.0,-170.0,-10.0,10.0,-35.0,1100.0,620.0,300.0,-78.0,30.0,240.0,26.0,3.0,30.0,38.0,-9.0,0.0,-35.0,340.0,220.0,360.0,-9.0,9.0,210.0,-440.0,550.0,-3.0,2.0,430.0,38.0,4.0,30.0,19.0,28.0,-8.0,-11.0,-9.0,-160.0,130.0
2020-10-30,2020,10,30,-190.0,-330.0,-165.0,-290.0,40.0,-95.0,-51.0,-17.0,-700.0,-50.0,-310.0,72.0,-32.0,-270.0,-31.0,-22.0,-29.0,-24.0,-3.0,-48.0,3.0,-40.0,-390.0,-330.0,-13.0,-12.0,-220.0,430.0,-750.0,0.0,15.0,-330.0,-50.0,-13.0,-46.0,-32.0,-20.0,-34.0,-15.0,-10.0,110.0,-160.0
2020-10-29,2020,10,29,60.0,-130.0,-5.0,-10.0,-70.0,-150.0,-75.0,-52.0,-1250.0,20.0,-130.0,28.0,-4.0,-30.0,0.0,13.0,-7.0,0.0,-4.0,-7.0,-6.0,-40.0,-70.0,80.0,-6.0,-7.0,60.0,620.0,-600.0,0.0,0.0,-40.0,-46.0,4.0,-43.0,-23.0,-17.0,-2.0,-32.0,17.0,-230.0,110.0
2020-10-28,2020,10,28,-70.0,-30.0,-135.0,0.0,-110.0,-25.0,-7.0,-19.0,800.0,230.0,-50.0,13.0,-6.0,-40.0,-5.0,-16.0,1.0,-26.0,4.0,-2.0,-2.0,-490.0,-90.0,-300.0,9.0,-2.0,-100.0,250.0,-600.0,4.0,10.0,-350.0,-39.0,-11.0,-35.0,-2.0,-51.0,-6.0,-22.0,-24.0,150.0,-230.0
2020-10-27,2020,10,27,-70.0,-20.0,-30.0,-150.0,20.0,100.0,0.0,-3.0,500.0,80.0,-20.0,2.0,-1.0,0.0,-2.0,0.0,3.0,-12.0,3.0,-1.0,-11.0,-80.0,-10.0,-120.0,4.0,-8.0,-50.0,300.0,-250.0,0.0,1.0,-110.0,-21.0,3.0,-20.0,-5.0,-10.0,25.0,-38.0,7.0,80.0,150.0
2020-10-26,2020,10,26,-40.0,-80.0,-40.0,-20.0,-100.0,-20.0,4.0,-2.0,-1050.0,-650.0,-40.0,11.0,-6.0,-90.0,-7.0,-20.0,-3.0,4.0,5.0,-1.0,6.0,0.0,-130.0,-80.0,6.0,-9.0,-30.0,180.0,-150.0,0.0,-3.0,20.0,-9.0,9.0,-5.0,0.0,-3.0,-40.0,-13.0,-24.0,-130.0,80.0
